D  ELWP  Npart  beta_z  gamma_z  kappa_z  zeta1_z  alpha_eff
    0.0100000  0.5        57.0000        5.24994       -3.20934       0.128327      0.0362909       0.654797
    0.0110000  0.5        60.0000        5.32867       -3.16151       0.140692      0.0400887       0.656721
    0.0120000  0.5        60.0000        3.75595       -2.95847       0.155740      0.0370924       0.684372
    0.0130000  0.5        59.0000        3.47513       -2.89445       0.154904      0.0481870       0.660580
    0.0140000  0.5        75.0000        1.47761       -2.54858       0.156054      0.0723194       0.659764
    0.0150000  0.5        65.0000        1.31374       -2.44023       0.157717      0.0829013       0.685197
    0.0160000  0.5        78.0000        1.44707       -2.50599       0.156279      0.0807905       0.666246
    0.0170000  0.5        62.0000        1.13799       -2.39671       0.145438      0.0965959       0.650175
    0.0180000  0.5        62.0000        1.28843       -2.44510       0.158124      0.0811165       0.645916
    0.0190000  0.5        73.0000       0.898501       -2.26519       0.152670       0.112310       0.695859
    0.0200000  0.5        61.0000       0.906047       -2.26852       0.164623       0.122194       0.676632
    0.0210000  0.5        51.0000        1.01582       -2.33231       0.153522      0.0834928       0.683891
    0.0220000  0.5        62.0000       0.754057       -2.22301       0.146187       0.101492       0.699971
    0.0230000  0.5        53.0000       0.712499       -2.17530       0.152268      0.0949573       0.665545
   0.00200000  1.0        47.0000       0.349781       -2.88256       0.162210       0.130989       0.841487
   0.00300000  1.0        62.0000       0.593434       -3.21525       0.196179      0.0813514       0.791081
   0.00400000  1.0        57.0000        1.29168       -3.48349       0.176043      0.0687553       0.738455
   0.00500000  1.0        59.0000        1.92595       -3.60140       0.185898      0.0524988       0.689900
   0.00600000  1.0        60.0000        3.97544       -3.70581       0.156773      0.0557765       0.691624
   0.00700000  1.0        56.0000        5.12906       -3.77434       0.149065      0.0484768       0.665708
   0.00800000  1.0        57.0000        6.01971       -3.78165       0.149773      0.0484093       0.655458
   0.00900000  1.0        65.0000        7.50127       -3.78134       0.131635      0.0372474       0.658320
    0.0100000  1.0        63.0000        6.51067       -3.64870       0.137567      0.0325721       0.674316
    0.0110000  1.0        59.0000        9.25478       -3.67945       0.171445      0.0310649       0.677596
    0.0120000  1.0        52.0000        7.79822       -3.59716       0.186102      0.0304487       0.671269
    0.0130000  1.0        54.0000        6.90522       -3.48090       0.151112      0.0277925       0.661562
    0.0140000  1.0        66.0000        5.69084       -3.37143       0.157152      0.0310871       0.655895
    0.0150000  1.0        61.0000        6.26994       -3.45359       0.132090      0.0306370       0.643497
    0.0160000  1.0        59.0000        8.37902       -3.47254       0.182249      0.0229519       0.639584
    0.0170000  1.0        61.0000        6.40210       -3.35278       0.156486      0.0263922       0.638490
    0.0180000  1.0        71.0000        4.21884       -3.13930       0.170548      0.0420446       0.657092
    0.0190000  1.0        62.0000        4.32128       -3.11091       0.152531      0.0436967       0.664878
    0.0200000  1.0        62.0000        4.89047       -3.05023       0.174763      0.0352122       0.678331
    0.0210000  1.0        63.0000        4.83426       -3.06067       0.180336      0.0370847       0.652524
    0.0220000  1.0        56.0000        3.26235       -2.91009       0.165882      0.0466249       0.672873
    0.0230000  1.0        50.0000        2.49145       -2.79424       0.129747      0.0648212       0.672414
   0.00200000  2.0        1060.00        6.14126       -3.66289       0.154179      0.0313517       0.689279
   0.00300000  2.0        37.0000       0.490839       -3.03213       0.144772       0.113229       0.889529
   0.00400000  2.0        69.0000       0.649321       -3.17675       0.157151      0.0732795       0.858665
   0.00500000  2.0        68.0000       0.966702       -3.39142       0.154327      0.0445231       0.815905
   0.00600000  2.0        64.0000        1.16343       -3.46532       0.143007      0.0553414       0.761442
   0.00700000  2.0        58.0000        1.35350       -3.55997       0.160176      0.0516869       0.706690
   0.00800000  2.0        48.0000        1.80686       -3.62573       0.149996      0.0671826       0.678060
   0.00900000  2.0        64.0000        2.05876       -3.59094       0.144108      0.0831481       0.690679
    0.0100000  2.0        74.0000        2.87334       -3.66806       0.151904      0.0611379       0.693969
    0.0110000  2.0        71.0000        2.71217       -3.58396       0.159545      0.0615156       0.680128
    0.0120000  2.0        57.0000        3.77051       -3.64253       0.113112      0.0563604       0.680857
    0.0130000  2.0        61.0000        4.38799       -3.72619       0.156744      0.0576782       0.658602
    0.0140000  2.0        70.0000        4.55854       -3.74754       0.165965      0.0467347       0.631713
    0.0150000  2.0        62.0000        5.18106       -3.73052       0.131292      0.0360879       0.637289
    0.0160000  2.0        53.0000        9.27070       -3.86667       0.129949      0.0256118       0.650507
    0.0170000  2.0        65.0000        7.46417       -3.72384       0.120550      0.0259881       0.677281
    0.0180000  2.0        71.0000        7.73799       -3.71931       0.156505      0.0287419       0.682674
    0.0190000  2.0        91.0000        8.24980       -3.68910       0.161044      0.0293261       0.690118
    0.0200000  2.0        70.0000        10.5810       -3.74514       0.170870      0.0221372       0.699869
    0.0210000  2.0        62.0000        10.5143       -3.73548       0.146436      0.0253319       0.673299
    0.0220000  2.0        61.0000        10.4289       -3.68565       0.164310      0.0243838       0.676579
    0.0230000  2.0        62.0000        12.5503       -3.76963       0.156765      0.0236263       0.650541
